text,date,source,label
Presiden Prabowo Subianto Dorong Percepatan Program Makan Bergizi Gratis di Indonesia,2025-02-06 07:20:35+00:00,kaggle,positif
Makan Bergizi Gratis Untuk Indonesia Emas mbg makanbergizigratis papuabarat,2025-04-01 00:00:00+00:00,x,positif
*Kapolres Bulukumba Hadiri Kegiatan Uji Coba Makan Bergizi Gratis di Desa Bonto Bulaeng* BULUKUMBA -- Kapolres Bulukumba AKBP Andi Erma Suryono S.H. S.I.K. M.M menghadiri pelaksanaan uji coba makan bergizi gratis yang dilaksanakan di Desa Bonto Bulaeng Kecamatan Bulukumpa,2025-02-10 08:04:40+00:00,kaggle,netral
KITA KETIPU PROGRAM MAKAN BERGIZI GRATIS PRABOWO PULUHAN PEMILIK KATERING TERTIPU RP. 72 JUTA DI JANJIKAN JADI PEMASOK MAKAN BERGIZI GRATIS ‼ JokowiHarusDisprindik JokowiHarusDisprindik 🆘🆗,2025-01-02 00:00:00+00:00,x,negatif
Ini adalah program cek kesehatan gratis diputuskan oleh beliau (Presiden Prabowo) nanti tanggal 10 Februari ini sudah bisa jalan khusus puskesmas dan juga klinik-klinik. Nanti beliau sama seperti yang makan bergizi mau lihat di salah satu puskesmas kata Menkes Budi di Istana,2025-02-05 10:04:10+00:00,kaggle,netral
kenapa salmon masih abis apakah mereka kabur takut siripnya dijadiin menu rotasi makan siang gratis?,2025-02-09 05:30:15+00:00,kaggle,netral
"Kemendagri: ""Pembangunan daerah harus sejalan dengan pusat!"" Kepri jadi contoh sukses atasi stunting & kemiskinan, tapi masih PR soal pengangguran. Selengkapnya soal RPJMD 2025-2029 dan target inovasi daerah di sini [Link]",2025-05-02 00:00:00+00:00,x,netral
disini malah kementriannya nambah malah yg terbaru ada bapak² botak yg kmrn marahin anak sd soal makan gratis diangkat jd utusan presiden,2025-02-11 12:02:41+00:00,kaggle,negatif
Tentu saja makan siang gratis solusinya,2025-05-01 00:00:00+00:00,x,positif
Makan Bergizi Gratis Makan Beracun Gratis,2025-05-03 00:00:00+00:00,x,negatif
"Program Makan Bergizi Gratis tuh bukan cuma soal isi piring, tapi soal masa depan! Efeknya nyata: anak sehat, otak encer, Indonesia makin keren! FaktaIndonesia MakanBergiziGratis ManfaatMakanBergiziGratis DukungProgramMakanBergiziGratis",2025-05-04 00:00:00+00:00,x,positif
Orang yang bukan buzzer mah sadar keadaan sekarang lagi semrawut gini bikin makan gratis itu ga tepat alokasi dananya bisa buat yang lain kaya bikin lapangan kerja atau fasilitas sekoah,2025-01-09 13:38:51+00:00,kaggle,negatif
Makan Bergizi Gratis meningkatkan Kualitas Anak Bangsa,2025-05-01 00:00:00+00:00,x,positif
"b. Ibadah ritual: Dilakukan sebagai ritual, contohnya sholat, zakat, puasa. 3. Kebiasaan: Dimulai dari niat, bisa dimulai dari hal-hal kecil seperti bangun pagi dan makan bergizi. 4. Sahur: Salah satu sunnah di bulan Ramadhan, disarankan makan sahur dekat waktu imsak.",2025-03-01 00:00:00+00:00,x,netral
