,,Name,Username,"Profile ID",Date,Likes,Comment,"User Verified",Thumbnail,"Comment ID","Profile URL","Comment URL"
1,,ly_kimm_08,ly_kimm_08,67127750134,"2026-06-19 05:53:56",0,"Fik inimah bisnis bukan demi rakyat",no,https://instagram.fiev25-2.fna.fbcdn.net/v/t51.2885-19/449790850_352960497826292_761927440176942542_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby41NDAuYzIifQ&_nc_ht=instagram.fiev25-2.fna.fbcdn.net&_nc_cat=108&_nc_oc=Q6cZ2gFBZ8p6kDrsiRUCtZArTxgcrUOj91XOr4BEASfCZC5pL341skzwb2XMPr_7o0QBv7o&_nc_ohc=YdErHSkxEmoQ7kNvwHfWh0c&_nc_gid=rvAQKUEozV-7tATZsfuHsA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_Af8KjDyJ3KvBjbP8o8GIwlDmbtqTQb0_h7XN6bEjrAZtcw&oe=6A3EFA26&_nc_sid=0985b0,18100113683331964,https://www.instagram.com/ly_kimm_08,https://www.instagram.com/p/DZvxCr_zUGG/c/18100113683331964
2,,engki_wijaya,engki_wijaya,7799222714,"2026-06-19 05:59:14",0,"Bisa anda lihat sendiri sir @prabowo",no,https://instagram.fiev25-1.fna.fbcdn.net/v/t51.82787-19/695799673_18318506452262715_8896615760274101851_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fiev25-1.fna.fbcdn.net&_nc_cat=103&_nc_oc=Q6cZ2gFBZ8p6kDrsiRUCtZArTxgcrUOj91XOr4BEASfCZC5pL341skzwb2XMPr_7o0QBv7o&_nc_ohc=c98EMRBG2_AQ7kNvwECmunl&_nc_gid=rvAQKUEozV-7tATZsfuHsA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_Af-gmfC8CEWf8yN7jqQd4d90YGU0KAvrAFbfnoI4srKfBw&oe=6A3EE502&_nc_sid=0985b0,18167793166432924,https://www.instagram.com/engki_wijaya,https://www.instagram.com/p/DZvxCr_zUGG/c/18167793166432924
3,,soebali,soebali,1525147802,"2026-06-19 06:01:23",0,"@hafaz_creation …rakus…",no,https://instagram.fiev25-1.fna.fbcdn.net/v/t51.2885-19/1389650_714428771983452_170858219_a.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xNTAuYzIifQ&_nc_ht=instagram.fiev25-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2gFBZ8p6kDrsiRUCtZArTxgcrUOj91XOr4BEASfCZC5pL341skzwb2XMPr_7o0QBv7o&_nc_ohc=Df7HtSQuDWMQ7kNvwHnhMDd&_nc_gid=rvAQKUEozV-7tATZsfuHsA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_Af_-NQos-zGQA5SsTDMYCGnZeaFKbFNNbgyTdZo9g-jTUw&oe=6A3F0D79&_nc_sid=0985b0,18093252359196063,https://www.instagram.com/soebali,https://www.instagram.com/p/DZvxCr_zUGG/c/18093252359196063
4,,cecep_is_tedy,cecep_is_tedy,6821834146,"2026-06-19 06:03:24",0,"Ayo meng gonggong lah",no,https://instagram.fiev25-2.fna.fbcdn.net/v/t51.2885-19/470938613_1659253371616041_4353766419608096514_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDU4LmMyIn0&_nc_ht=instagram.fiev25-2.fna.fbcdn.net&_nc_cat=109&_nc_oc=Q6cZ2gFBZ8p6kDrsiRUCtZArTxgcrUOj91XOr4BEASfCZC5pL341skzwb2XMPr_7o0QBv7o&_nc_ohc=baF0FpomRA8Q7kNvwGdfQH-&_nc_gid=rvAQKUEozV-7tATZsfuHsA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_Af83EdqsiZJuIzN5z2YjOhu6faiEwy-KK7kFpvb661AAAg&oe=6A3EFC5E&_nc_sid=0985b0,17967253260080989,https://www.instagram.com/cecep_is_tedy,https://www.instagram.com/p/DZvxCr_zUGG/c/17967253260080989
5,,sneaker.santa,sneaker.santa,1657600518,"2026-06-19 06:03:28",0,"Ketawan siapa yg teriak klo mbg stop",no,https://instagram.fiev25-2.fna.fbcdn.net/v/t51.82787-19/543841915_18525523495000519_6041195131802768600_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fiev25-2.fna.fbcdn.net&_nc_cat=107&_nc_oc=Q6cZ2gFBZ8p6kDrsiRUCtZArTxgcrUOj91XOr4BEASfCZC5pL341skzwb2XMPr_7o0QBv7o&_nc_ohc=AofnLPGeUkYQ7kNvwFPZK5D&_nc_gid=rvAQKUEozV-7tATZsfuHsA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_Af8yj90kPvB_ri3b1fTJRoVqArMtz3Q1FfzH8gDqnehOIA&oe=6A3F0FB0&_nc_sid=0985b0,18075523370667020,https://www.instagram.com/sneaker.santa,https://www.instagram.com/p/DZvxCr_zUGG/c/18075523370667020
6,,ettyrattnasarii,ettyrattnasarii,2372762937,"2026-06-19 06:05:02",0,"Giliran pas kenyang diem diem, giliran lapar koar koar protes 😂",no,https://instagram.fiev25-2.fna.fbcdn.net/v/t51.2885-19/295981347_430797912440121_2677146075737567806_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby45NTkuYzIifQ&_nc_ht=instagram.fiev25-2.fna.fbcdn.net&_nc_cat=109&_nc_oc=Q6cZ2gFBZ8p6kDrsiRUCtZArTxgcrUOj91XOr4BEASfCZC5pL341skzwb2XMPr_7o0QBv7o&_nc_ohc=jNpJyQY762gQ7kNvwHDjK2d&_nc_gid=rvAQKUEozV-7tATZsfuHsA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_Af_7JizqE293HTWW99lOPbxanbEUHfHDI1_ufsAI-JIoVQ&oe=6A3F0BE7&_nc_sid=0985b0,18107486188788174,https://www.instagram.com/ettyrattnasarii,https://www.instagram.com/p/DZvxCr_zUGG/c/18107486188788174
7,,54.203969,54.203969,48557495690,"2026-06-19 06:08:07",0,"OOO nggak terima ya ?, lha apa nggak dikasih tanda terima, kalau nggak dikasih tanda terima Yo minta dong, salam akal waras, jika belum waras semoga segera waras",no,https://instagram.fiev25-2.fna.fbcdn.net/v/t51.82787-19/634043483_18024849476623691_123912013402552719_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby43MjAuYzIifQ&_nc_ht=instagram.fiev25-2.fna.fbcdn.net&_nc_cat=111&_nc_oc=Q6cZ2gFBZ8p6kDrsiRUCtZArTxgcrUOj91XOr4BEASfCZC5pL341skzwb2XMPr_7o0QBv7o&_nc_ohc=X3jyg_E-_DAQ7kNvwFI1tLy&_nc_gid=rvAQKUEozV-7tATZsfuHsA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_Af9s8EKx1zzxMXE7rTDWBMWLWiqBYKtFrUjsW05E_tjr0A&oe=6A3EF557&_nc_sid=0985b0,18112854460924562,https://www.instagram.com/54.203969,https://www.instagram.com/p/DZvxCr_zUGG/c/18112854460924562
8,,nick_claw,nick_claw,1749771545,"2026-06-19 06:08:41",0,"Another hama",no,https://instagram.fiev25-1.fna.fbcdn.net/v/t51.2885-19/41533012_744584989228170_5547622128813080576_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fiev25-1.fna.fbcdn.net&_nc_cat=106&_nc_oc=Q6cZ2gFBZ8p6kDrsiRUCtZArTxgcrUOj91XOr4BEASfCZC5pL341skzwb2XMPr_7o0QBv7o&_nc_ohc=qhUgb6-xE9sQ7kNvwG-HB-0&_nc_gid=rvAQKUEozV-7tATZsfuHsA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_Af-CdpxfKpEBol4nQYpHRulxNnhegGwzSUS1OBWb3mZ2ag&oe=6A3F081A&_nc_sid=0985b0,18118728844775183,https://www.instagram.com/nick_claw,https://www.instagram.com/p/DZvxCr_zUGG/c/18118728844775183
9,,yoananto,yoananto,1682340151,"2026-06-19 08:20:38",0,Wkwk,no,https://instagram.fiev25-1.fna.fbcdn.net/v/t51.82787-19/642546734_18568995466036152_2308290918147662603_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fiev25-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2gGP2q2lFOg8jAMsrF55TyfZfo06LsUVUo3M4RX4KNat2OEW6b59nhPHd1BDq2FW10w&_nc_ohc=kSQoN8a7HiEQ7kNvwHQdD-U&_nc_gid=pt0Y1siPAXFztrC-9NRpXQ&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_Af-HRYTIiVpVGdWgllbqdARcfHbax9gnDHBLPeD4eKNAGg&oe=6A3F00F3&_nc_sid=0985b0,18119065603761766,https://www.instagram.com/yoananto,https://www.instagram.com/p/DZvxCr_zUGG/c/18119065603761766
10,,h.mzakaria,h.mzakaria,65261233392,"2026-06-19 08:22:41",0,"Kebetulan, semoga pengadilan menghapus MBG sekalian",no,https://instagram.fiev25-2.fna.fbcdn.net/v/t51.2885-19/433234418_1625052538320959_7549051271330291781_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby43MTkuYzIifQ&_nc_ht=instagram.fiev25-2.fna.fbcdn.net&_nc_cat=111&_nc_oc=Q6cZ2gGP2q2lFOg8jAMsrF55TyfZfo06LsUVUo3M4RX4KNat2OEW6b59nhPHd1BDq2FW10w&_nc_ohc=_uo1lzunPS4Q7kNvwFaC875&_nc_gid=pt0Y1siPAXFztrC-9NRpXQ&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_Af87-3KMXXyFbVTx5zSzzgjJWNqkoQS0VymD7KF4_qm33A&oe=6A3F06E3&_nc_sid=0985b0,18090790994456674,https://www.instagram.com/h.mzakaria,https://www.instagram.com/p/DZvxCr_zUGG/c/18090790994456674
11,,adifz_,adifz_,312790559,"2026-06-19 08:31:28",0,"La kalo siswanya libur siapa yg di kasih makan ? 😂",no,https://instagram.fiev25-2.fna.fbcdn.net/v/t51.82787-19/625664918_18555691012022560_1915831566406141389_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDI0LmMyIn0&_nc_ht=instagram.fiev25-2.fna.fbcdn.net&_nc_cat=104&_nc_oc=Q6cZ2gGP2q2lFOg8jAMsrF55TyfZfo06LsUVUo3M4RX4KNat2OEW6b59nhPHd1BDq2FW10w&_nc_ohc=ixz24sRe_-gQ7kNvwEUDLdr&_nc_gid=pt0Y1siPAXFztrC-9NRpXQ&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_Af-xK7b1plOpPw03wAi0APlCqpiov5XMOgWnojDZ_n5uaw&oe=6A3EFD7C&_nc_sid=0985b0,17945178504209842,https://www.instagram.com/adifz_,https://www.instagram.com/p/DZvxCr_zUGG/c/17945178504209842
12,,rahmatdians288,rahmatdians288,1092011776,"2026-06-19 08:33:12",0,"Uh pengusaha kelaparan",no,https://instagram.fiev25-2.fna.fbcdn.net/v/t51.2885-19/414265409_599499042317143_3770902778124496400_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fiev25-2.fna.fbcdn.net&_nc_cat=107&_nc_oc=Q6cZ2gGP2q2lFOg8jAMsrF55TyfZfo06LsUVUo3M4RX4KNat2OEW6b59nhPHd1BDq2FW10w&_nc_ohc=B5fLu1B00rUQ7kNvwEvnHOi&_nc_gid=pt0Y1siPAXFztrC-9NRpXQ&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_Af886q5zofGjk7F-l_u9n7Z1XmYJ5hSKB5_Hut1VswYNHg&oe=6A3F097B&_nc_sid=0985b0,18087957338627985,https://www.instagram.com/rahmatdians288,https://www.instagram.com/p/DZvxCr_zUGG/c/18087957338627985
13,,gilangben,gilangben,2236979022,"2026-06-19 08:33:19",0,"Terbukti MBG itu urusan siapa hahahaha",no,https://instagram.fiev25-1.fna.fbcdn.net/v/t51.2885-19/482521638_1390286325494270_8203643839809401224_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fiev25-1.fna.fbcdn.net&_nc_cat=102&_nc_oc=Q6cZ2gGP2q2lFOg8jAMsrF55TyfZfo06LsUVUo3M4RX4KNat2OEW6b59nhPHd1BDq2FW10w&_nc_ohc=sjFumXYHYUYQ7kNvwGfrXrc&_nc_gid=pt0Y1siPAXFztrC-9NRpXQ&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_Af9BqNBAubLIt1XR8gPq3kPXJ3UQWfTivfwlFOqVlHl8jw&oe=6A3EEEDE&_nc_sid=0985b0,18105954545046625,https://www.instagram.com/gilangben,https://www.instagram.com/p/DZvxCr_zUGG/c/18105954545046625
14,,yrvl4h.r12_4nl,yrvl4h.r12_4nl,2284119209,"2026-06-19 08:40:33",0,"OPM ➡️ Organisasi Pengusaha Mbg. Semoga ga gunakan garpu dan ompreng sebagai senjata dan tameng 😢😮",no,https://instagram.fiev25-1.fna.fbcdn.net/v/t51.82787-19/645512577_18513531997079210_6881631659735500410_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fiev25-1.fna.fbcdn.net&_nc_cat=102&_nc_oc=Q6cZ2gGP2q2lFOg8jAMsrF55TyfZfo06LsUVUo3M4RX4KNat2OEW6b59nhPHd1BDq2FW10w&_nc_ohc=Jxe3CfvWY3oQ7kNvwEAMrvB&_nc_gid=pt0Y1siPAXFztrC-9NRpXQ&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_Af-fvXt3YwlY_Hg1p_945cXF0WSHTZXkt2Emlnf4UVqBvQ&oe=6A3F05C1&_nc_sid=0985b0,17882433342665023,https://www.instagram.com/yrvl4h.r12_4nl,https://www.instagram.com/p/DZvxCr_zUGG/c/17882433342665023
