CommentId,Comment,PublishedTimeText,PublishedTime,AuthorName,AuthorChannelId,AuthorIsVerified,AuthorIsCreator,AuthorAvatarUrl,AuthorChannelUrl,Likes,Replies,Type
Ugy6WDrQs-jAtXiIaP54AaABAg,"Siapa saja yang baru nonton ini setelah tertangkap dan jadi tersangka?","2 weeks ago (edited)",2026-06-08T11:53:49.200Z,@smpnegeri3paseh226,UC7C-3oLAI5o0l5skpiXdVuw,0,0,https://yt3.ggpht.com/UAIZ0N5cqfW8RheEGjyx0HlVFYLaPTXx-iEU24mmZQitzHrm8jRGJZfi4t2fYB9IvwtKrt4H=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UC7C-3oLAI5o0l5skpiXdVuw,16,0,comment
Ugyk0Bou8c9vlxo6tyx4AaABAg,"Minta dari Hongkong, skolah anak saya satu skolah nolak takut anak mlh keracunan, program yg aneh, lbh bagus buka lapangan kerja ato  bantu siswa yg kurang mampu, apa2 buat bangsa pdhl aslinya bagi2 kue doank, kpn ya punya pemimpin yg cerdas dan takut akan Tuhan, mungkin tunggu ayam tumbuh gigi","9 months ago",2025-09-22T11:53:49.200Z,@hanton007,UCpPbKpXRoAJHrlBCfOMB4Tw,0,0,https://yt3.ggpht.com/gQDD1mtmq9HZf8Z4yLxt7YJ7H4K7LeZPG4Cf1cUKoFiHhQg85am4Wi0dTPcjskUOD9vi01KuAQ=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCpPbKpXRoAJHrlBCfOMB4Tw,26,1,comment
UgwZhr0x7U6gl54snq94AaABAg,"Bukan stunting yang turun tapi korupsi yg melebar ...di sini otak atik menu ladang korupsi","10 months ago",2025-08-22T11:53:49.200Z,@RansdesaMATARAM,UC5dqxkHBx2u9_gFsAX-O64A,0,0,https://yt3.ggpht.com/TZMJ5_0I7t0jrSltxlT_hTOnakVtIMaKcuDjQOoDwzmfgZf2cdEosiixgEEAywraX7GSxy2L=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UC5dqxkHBx2u9_gFsAX-O64A,29,3,comment
UgzX9OBvCHKV2q4F6cB4AaABAg,"Bung helmy kuat mental ngundang orang ini ya","2 months ago",2026-04-22T11:53:49.200Z,@noily8974,UC5SKcBJIvz15afSgxW2S4kw,0,0,https://yt3.ggpht.com/ytc/AIdro_k1ht4PBmMdPK_IZpbRiXfhZbl8EJXZCZwjh_J9080=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UC5SKcBJIvz15afSgxW2S4kw,14,0,comment
UgwU_xnjSlpPRklbIDB4AaABAg,"Lebih baik Sekolah Gratis daripada Makan Gratis, anggaranya untuk buka lapangan Kerja.","8 months ago",2025-10-22T11:53:49.200Z,@gemboljaya5576,UCPzoFIC9OAvMiCR7T7w66lg,0,0,https://yt3.ggpht.com/ytc/AIdro_nAdDH46yit5bX0DEA7JLLpAvmFprhC-ENZT7QCL3s=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCPzoFIC9OAvMiCR7T7w66lg,24,2,comment
UgxbF62y78U-a8UO4VR4AaABAg,"Ini program kagak transparan, padahal zaman udh canggih. Harusnya di website tersedia informasinya, sekolah mana aja yg udh ada MBG, siapa vendornya, siapa pengawas mutu dan gizinya, menu makanannya apa aja. Program bagus tapi pengawasanmya lemah rentan bgt. Kelemahan Indonesia tiap ada proyek itu pelaksanaan dan pengawasanmya. Makanya udah 80 Tahun merdeka tapi negara kita gini2 aja. Udah kesalip Singapore, Thailand, Malaysia, Vietnam.😢","10 months ago",2025-08-22T11:53:49.200Z,@magnificentseven48,UCOeCL-nikdsB9ADQDLEtn8Q,0,0,https://yt3.ggpht.com/HtqF670wfGOfkZRFyYELRbtYgfKN7gb6uoVs54gyiAE_bWhKmPsYyt0EK2pCDb8sU90Ubtu9aQ=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCOeCL-nikdsB9ADQDLEtn8Q,28,7,comment
Ugy-ct3eVjHnLr15j9d4AaABAg,"Dulu sekolah anakku di kasih kuisioner, 70 % menolak, tapi ya tetap dapat jatah meskipun nggak pernah disentuh, tetap lanjutkan catering sekolah","2 weeks ago",2026-06-08T11:53:49.200Z,@aminmuntaha9570,UCVfSfqUX65bUrHWa8-bQuPw,0,0,https://yt3.ggpht.com/ytc/AIdro_kCr79mQoCvurl69knYMicrzUVkstCvBWrgnLZjBfS6n9Q=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCVfSfqUX65bUrHWa8-bQuPw,1,0,comment
UgxJ-yKzcQfMHOafI7B4AaABAg,"Sebaiknya pemerintah pusat kembali meninjau program makan bergisi tersebut tidak gratis melainkan di biayai okeh Negara.. Proyek ini sangat tidak berjalan sesuai apa yg di rencanakan. Buktinya yg terjadi di NTT program ini hanya di beri nasi sayuran sepotong ikan secuil tempe & sayur tanpa di beri sendok & susu. Bahkan sering siswa - siswi mendapat makanan yg sudah basi bahkan pernah terjadi siswa - siswi keracunan makanan dari program makan gratis ini. Ada baiknya dana program ini di alihkan ke hal yang lebih berguna dari pada makan gratis yg penuh dengan aturan & syarat korupsi. Makasih 🙏 mohon maaf jika ada yg tersinggung saya pribadi hanya mengkritik apa yg terjadi di lapangan agar kedepan pelayanannya menjadi lebih baik. 🙏🙏🙏","10 months ago (edited)",2025-08-22T11:53:49.200Z,@yohanesama1086,UCMUMDcJlVBcMoOavcJMJjbw,0,0,https://yt3.ggpht.com/-SbTpgWnb1KoWI42KLGSIMYqLsaD8anVYIX4PDHwMzg3NsNCJA0dL_6R1MJIrrR76ftqZqRw=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCMUMDcJlVBcMoOavcJMJjbw,11,1,comment
UgxbxIGH4Q8CCWwWkLt4AaABAg,"Ijin berpendapat, sejauh yang saya ketahui menu-menu di MBG di daerah kami sudah dicukupi oleh orang tua mereka. Bahkan kebanyakan lebih dari 1 sajian menu MBG. menurut hemat saya berilah MBG pada daerah2 yang memang secara gisi belum bisa dipenuhi keluarga mereka. Sehingga program ini betul-betul tepat sasaran dan uang negara bisa dimanfaatkan untuk yang fundamental.","10 months ago",2025-08-22T11:53:49.200Z,@putuwirta8785,UCtI-ud0aZ1xD8AyC234Znfw,0,0,https://yt3.ggpht.com/ytc/AIdro_lRJ1Y-Q_F7_bUDodrZi1Xf2fjwnhF_yZKV6hlpAOKusLg=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCtI-ud0aZ1xD8AyC234Znfw,92,22,comment
UgybeqlhtD9h0-dXJO54AaABAg,"Lanjutkan pak . sesekali control menunya agar lebih berkualitas lagi","9 months ago",2025-09-22T11:53:49.200Z,@SUWATISUWATI-h9v,UCjkjizNkp1XMTFdvUVx4RCA,0,0,https://yt3.ggpht.com/lPDc3GYhumm_d2nYD1MLXlamzuv6X8MwXaAJ5uq1PLnsdhUFmJKYD2D-C41TcSUtnMnbpgg12A=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCjkjizNkp1XMTFdvUVx4RCA,0,0,comment
