CommentId,Comment,PublishedTimeText,PublishedTime,AuthorName,AuthorChannelId,AuthorIsVerified,AuthorIsCreator,AuthorAvatarUrl,AuthorChannelUrl,Likes,Replies,Type
UgxVflmQHXRCFRS1PLx4AaABAg,"Keren ini Bang Media, pembahasannya berbobot. Penjelasannya jelas, tutur bahasanya santun, tenang, runut dan tegas. Memang kalau orang-orang terpelajat itu beda.","3 days ago",2026-06-19T11:55:16.133Z,@iffanarinanda482,UCfIFiY0UUqt_-Ox1SQwIePQ,0,0,https://yt3.ggpht.com/ytc/AIdro_mjjexX6vG6UiU_33H5O5Z6a7vwSF0u1Ji-657ANtSO6pE=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCfIFiY0UUqt_-Ox1SQwIePQ,23,1,comment
Ugx7dUmIrne6piOOqZV4AaABAg,"Selama ini masyarakat aja tau kok MBG tempat korupsi, menu yang asal-asalan, keracunan dimana mana, masa pemerintah ga tau?? Selama ini apa reaksi pemerintah kalau ada yang kritik MBG?? Gaslight, serang balik kan?? Terus sekarang terbukti ada kasus korupsi di MBG pemerintah mau teruskan dan evaluasi, apa masyarakat bisa percaya?","4 days ago",2026-06-18T11:55:16.133Z,@agungsubagiyo5265,UC8umq4cyGyO2zyoPTypHmlg,0,0,https://yt3.ggpht.com/ytc/AIdro_l2JluGMBvsp2Zc3mvCFL7pZNkB3Jk0w743cY8iK7Zm2vQW=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UC8umq4cyGyO2zyoPTypHmlg,70,1,comment
UgzVNOxSxhCR_69e-5h4AaABAg,"Siswa tidak perlu mbg di perlukan  pendidikan grtis sampai kuliah tnpa biaya dn kesehatan grtis ketimbang mbg berkedok makanan bergizi","3 days ago",2026-06-19T11:55:16.133Z,@ibrahimnasution3672,UCRYb28n-NNoDGPX5y2YuS_Q,0,0,https://yt3.ggpht.com/ytc/AIdro_kNxgC8ci-CBWVpgP29NvJC7fnjoQOIEMYbxJz7_kKCyq9Hpu32YCOe9EXktnhHN76exg=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCRYb28n-NNoDGPX5y2YuS_Q,30,0,comment
UgzUkn4jSl4qqdAWtMl4AaABAg,"300 trilyun APBN  1 tahun Masuk WC, coba dana itu di pakai untuk menggratiskan pendidikan.","4 days ago",2026-06-18T11:55:16.133Z,@linlebang5666,UCh6-D08vM2vvQ1sHEnWELbQ,0,0,https://yt3.ggpht.com/ytc/AIdro_mq6bdUgpDGqU76whGvhFXLb04O_nicUA5gLFGon70=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCh6-D08vM2vvQ1sHEnWELbQ,49,6,comment
UgyNkkqIcd2q1jaqbNZ4AaABAg,"Yang 1 bicara data dan riset
Yang 2 bicara opini dan perasaan","4 days ago",2026-06-18T11:55:16.133Z,@hisyamwahyu3088,UCpNP5CdZKcn38bsH3CM6noA,0,0,https://yt3.ggpht.com/ytc/AIdro_mRQhWb_5xcZEqIh3JR9gkcFRoelATVQYzXMddzr8dt3LE=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCpNP5CdZKcn38bsH3CM6noA,111,8,comment
Ugx_8gRpB4PHuryLfox4AaABAg,"Apapun kamu bilang pak andre rosiade rakyat sudah tidak percaya","4 days ago",2026-06-18T11:55:16.133Z,@hajiamir426,UCTnudoSXMjjjZ3V8opDN76Q,0,0,https://yt3.ggpht.com/ytc/AIdro_ndcvfGMjJ5N0T9FGGljlW0MIasnhQ51n8SqWws3I87BZNWS8mHL02lh20MpWB32TlN3A=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCTnudoSXMjjjZ3V8opDN76Q,146,5,comment
Ugya4lKZ1j7QDkLciVh4AaABAg,"mantap betul orang ini mewakili rakyat yang menolak terlalu banyaknya anggaran yang dialirkan untuk sekedar makan","4 days ago",2026-06-18T11:55:16.133Z,@ahmadjamiat5048,UCDzkps-sj-O7WXFRxPhW-fQ,0,0,https://yt3.ggpht.com/ytc/AIdro_lqybv1ymmQZzV-g7nROuYqYvRtqWJrzgIBL02smStPjjYqrzc547dVBcr4Ak5lP7MDAg=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCDzkps-sj-O7WXFRxPhW-fQ,16,0,comment
Ugz9N6lQx9E1dm9Lh7d4AaABAg,"Mas Media keren… berbasis data semua. Kalem tapi mematikan. Moderatornya sue, gak berimbang.","3 days ago",2026-06-19T11:55:16.133Z,@ridwannurarifin3131,UCfxaWXkFYC7bgpgdGUC6w2g,0,0,https://yt3.ggpht.com/ytc/AIdro_mU2-78Zl4Va7HmJ6pfb3HBFcxCetajo7TerhQNDHKxrKw=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCfxaWXkFYC7bgpgdGUC6w2g,70,3,comment
Ugwvyv_BKLnHDDG9N7l4AaABAg,"andre rosiade tidak berbicara dengan dataa
DPR itu Dewan Perwakilan Rakyat atau Dewan Perwakilan Rezim","3 days ago",2026-06-19T11:55:16.133Z,@mafazatulmaulida485,UC9V-VU6X3jsstSFB3No3WmQ,0,0,https://yt3.ggpht.com/zrkFEr34PBN8BXVbXWzKg7uMtIrJ5zxGcbidNj7X0JSs7fN5w1TmYuPjWUWzQ-SRyH4WGiJJAg=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UC9V-VU6X3jsstSFB3No3WmQ,19,0,comment
Ugz9E4sgL8HIuajVVu54AaABAg,"Sedih banget ya, sampai bingung mau bicara kesiapa lagi itu mbgwatch. Kok bisa begini banget ya pemerintahan sekarang","3 days ago",2026-06-19T11:55:16.133Z,@faridwajdidjp610,UCLtbsVaOLe5uAbIR6E9KEfg,0,0,https://yt3.ggpht.com/ytc/AIdro_kZKj1TEB0670VrDrBrK8Vf4iYqlBZ-RnkUvszK5lgdjw=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCLtbsVaOLe5uAbIR6E9KEfg,8,0,comment
